0mZHbJu3DE64iBSl1NCPzz,¡Ay María!,['Joan Sebastian'],177969,12/19/91,1991,0.752,0.744,0.545,0,0.0427,-8.073,0.0393,134.816,0.95,1,0,43,0
1BLLqd0yYq3SiL6OJUlQri,Heart of Mine,['Bobby Caldwell'],289267,10/10/91,1991,0.786,0.653,0.373,3.72E-06,0.163,-12.684,0.0269,122.552,0.353,1,2,37,0
623uAb3wX35ck2WvEtKYWS,He Is They Are,"['Harry Connick, Jr.']",251693,9/24/91,1991,0.826,0.578,0.183,3.78E-05,0.36,-13.962,0.0305,81.176,0.416,1,7,43,0
6qpfKad6lv7ahI9xZvNZjV,Daddy's Come Around,['Paul Overstreet'],211067,1/1/91,1991,0.0074,0.643,0.684,0.0151,0.0919,-12.012,0.0381,159.628,0.892,1,8,38,0
6rf0Kgia2yt5j80glOBzpB,If I Had Only Known,['Reba McEntire'],240360,1/1/91,1991,0.914,0.384,0.0232,2.14E-06,0.0934,-17,0.0381,129.179,0.172,1,9,38,0
3S0pLtHQWFYCmNE9byQcWS,Have I Told You Lately - 2008 Remaster,['Rod Stewart'],241507,1991,1991,0.498,0.523,0.366,0,0.094,-14.069,0.0331,142.814,0.291,1,10,50,0
5nOSFNSuftuAAt5cAVfsAa,El Dicharachero,['Antonio Aguilar'],227904,12/19/91,1991,0.704,0.459,0.512,0,0.363,-7.922,0.0592,164.832,0.667,1,5,45,0
61bdPPJFoRLK4zrmOALWdh,Marijuana,['The Reverend Horton Heat'],289760,11/1/91,1991,9.86E-05,0.471,0.937,0.81,0.0643,-7.195,0.0579,145.817,0.488,0,1,39,0
5g6o2ZEegnAI3MczbwZaTZ,Calling Elvis,['Dire Straits'],384907,9/10/91,1991,0.0939,0.611,0.571,0.787,0.164,-11.72,0.0314,120.049,0.386,1,4,54,0
3EKiXW0H5BaJJFSSo73q3t,Take Me in Your Arms,['Lil Suzy'],247127,1991,1991,0.0429,0.707,0.467,0.000244,0.115,-14.43,0.0456,126.095,0.589,1,7,38,0
4kJsd28kYN9n6X87Duf9Zp,Never Stop,['The Brand New Heavies'],253333,1/1/91,1991,0.00312,0.717,0.81,0.000449,0.0654,-10.259,0.0692,101.421,0.735,1,4,36,0
6sbZlxSYVVLce7eGP3rxkl,Chitlins Con Carne,['Stevie Ray Vaughan'],236173,1991,1991,0.0447,0.734,0.398,0.0967,0.196,-12.539,0.0342,111.788,0.567,0,6,40,0
77jvkoKzy83gHwYe4pLi1Y,Come To Me,['Bonnie Raitt'],260760,1/1/91,1991,0.12,0.721,0.546,0.000306,0.0861,-10.951,0.0391,86.921,0.951,1,7,38,0
4FEyVH9a4WGY6zdhVixIxE,Any Dream Will Do,"['Andrew Lloyd Webber', 'Jason Donovan', '""Joseph And The Amazing Technicolor Dreamcoat"" 1991 London Cast']",234440,1/1/91,1991,0.252,0.804,0.475,0.0151,0.112,-11.148,0.0359,125.768,0.743,1,0,50,0
4tVhBXOhSlqYCL2IjyoUNu,Blue Lines - 2012 Mix/Master,['Massive Attack'],261827,6/10/91,1991,0.0778,0.855,0.496,0.451,0.12,-10.572,0.0824,95.494,0.947,1,5,49,0
01xhntcYe1f5EqHc2T7pep,Funky President (People It's Bad),['James Brown'],238400,1/1/91,1991,0.155,0.876,0.671,0.00857,0.0995,-10.981,0.162,105.807,0.841,0,11,36,0
2VGfQPsdES5JBFINXMTD6r,The Way You Look Tonight,['Steve Tyrell'],186560,12/12/91,1991,0.894,0.505,0.133,0.000631,0.212,-15.84,0.0297,109.818,0.215,1,3,43,0
2tSF8UvwQHspF4SNp956M7,"One Boy, One Girl",['Collin Raye'],244600,1991,1991,0.651,0.62,0.47,0,0.147,-7.5,0.0266,114.378,0.209,1,0,36,0
0cgcD73SD4nFdTK2oKofzW,Love In Portofino,['Dalida'],182067,1/1/91,1991,0.78,0.418,0.29,0,0.173,-10.126,0.0317,89.499,0.505,0,8,48,0
7mjTuZkE1XkJnco5bVsZCf,Round and Round - Soul Mix Edit,['Tevin Campbell'],293053,1991,1991,0.00335,0.79,0.591,0.00733,0.0338,-8.805,0.0935,107.197,0.725,1,7,37,0
2k0uuop6Kik4p4tswCUruW,"To The Fair - From ""Beauty and the Beast""/Score",['Alan Menken'],117907,1/1/91,1991,0.928,0.471,0.235,0.797,0.305,-17.386,0.0339,141.954,0.382,1,7,39,0
3cnrGnNUE5J6pOgyCwsNLs,Muchachita Pueblerina,['Joan Sebastian'],160299,12/19/91,1991,0.628,0.829,0.323,0,0.0961,-10.303,0.192,115.052,0.982,1,2,43,0
5CdoLhKBjtDUTnA0EdJCfk,Back To New Orleans,"[""Lightnin' Hopkins""]",201733,1/1/91,1991,0.889,0.629,0.275,0.00747,0.107,-17.572,0.0606,81.98,0.666,1,4,42,0
5bQLusQltQfYYvnOnugwxK,Take A Chance,['Bob Seger'],221613,8/27/91,1991,0.0347,0.731,0.864,7.20E-06,0.0624,-5.488,0.0339,111.24,0.5,1,7,39,0
0BMD6HPm0gS1pSTi5ZpHrR,Sometimes It's a Bitch,['Stevie Nicks'],278373,8/30/91,1991,0.0987,0.674,0.651,4.02E-05,0.15,-7.305,0.0413,119.926,0.341,1,9,39,0
55lX3vm1G35mUpawXHK5Te,Every Heartbeat,['Amy Grant'],213733,1991,1991,0.288,0.648,0.89,0,0.119,-3.834,0.0429,126.956,0.808,1,2,39,0
6FLdczvYpa40Td5FMANjM8,Living in the Country,['George Winston'],226026,10/8/91,1991,0.994,0.213,0.254,0.873,0.104,-16.715,0.0448,88.06,0.328,1,1,37,0
623ZeL2lWuz5v03TVkRBZa,Private Dancer - Single Edit,['Tina Turner'],240480,1/1/91,1991,0.225,0.639,0.669,0.00117,0.1,-7.574,0.0507,116.22,0.57,0,4,51,0
6PlV2oZkDVq0dCDyDZqoTw,Save Up All Your Tears,['Cher'],238160,6/11/91,1991,0.075,0.609,0.773,0,0.188,-9.166,0.0389,113.443,0.352,1,5,45,0
3MUHmdHaQSQ79hnmJRk5uk,"The Boxer - Live at Central Park, New York, NY - August 15, 1991",['Paul Simon'],258987,11/5/91,1991,0.835,0.331,0.582,0.000152,0.979,-9.828,0.0524,103.54,0.376,1,0,42,0
34zvKjHSrw1iMSp0yR24Ae,That's What I Like About You,['Trisha Yearwood'],160640,1/1/91,1991,0.674,0.648,0.867,0.000995,0.11,-7.405,0.0347,118.056,0.667,1,8,38,0
44AgaeLQCnvk3PPHIaDeDk,Try Me,['James Brown'],151627,1/1/91,1991,0.911,0.673,0.243,0,0.286,-13.868,0.0306,101.531,0.644,1,0,36,0
1gkGXeqt7XMMRnIwTBIH72,Mi Ironia,['Los Bukis'],255960,1/1/91,1991,0.126,0.488,0.58,0,0.356,-11.685,0.048,171.487,0.476,1,7,41,0
3MOHZpSZQmP2f1f30aqpDH,Big Sky Country,['Chris Whitley'],285493,7/2/91,1991,0.503,0.663,0.437,0,0.0629,-11.137,0.033,90.169,0.598,1,10,39,0
0vaXdoc6kDLxDJPodN61Bx,Lástima es mi Mujer,['Montez de Durango'],190459,1/1/91,1991,0.427,0.59,0.645,0,0.28,-5.324,0.0253,94.31,0.618,1,7,39,0
5gkvtTKKixrxQrfm8J20W8,All Souls Night,['Loreena McKennitt'],308627,9/27/91,1991,0.145,0.429,0.582,0.00029,0.49,-9.045,0.0319,141.261,0.148,1,7,35,0
